ZIP,TOWN,COUNTY
24210,Abingdon,Washington County
24211,Abingdon,Washington County
24212,Abingdon,Washington County
23301,Accomac,Accomack County
23001,Achilles,Gloucester County
22920,Afton,Nelson County
23821,Alberta,Brunswick County
20105,Aldie,Loudoun County
22301,Alexandria,Alexandria City
22302,Alexandria,Alexandria City
22303,Alexandria,Fairfax County
22304,Alexandria,Alexandria City
22305,Alexandria,Alexandria City
22306,Alexandria,Fairfax County
22307,Alexandria,Fairfax County
22308,Alexandria,Fairfax County
22309,Alexandria,Fairfax County
22310,Alexandria,Fairfax County
22311,Alexandria,Alexandria City
22312,Alexandria,Fairfax County
22313,Alexandria,Alexandria City
22314,Alexandria,Alexandria City
22315,Alexandria,Fairfax County
22320,Alexandria,Alexandria City
22321,Alexandria,Alexandria City
22331,Alexandria,Alexandria City
22332,Alexandria,Alexandria City
22333,Alexandria,Alexandria City
22334,Alexandria,Alexandria City
22336,Alexandria,Alexandria City
22350,Alexandria,Alexandria City
24517,Altavista,Campbell County
24520,Alton,Halifax County
23002,Amelia Court House,Amelia County
24521,Amherst,Amherst County
20106,Amissville,Rappahannock County
23822,Ammon,Amelia County
24601,Amonate,Tazewell County
24215,Andover,Wise County
22003,Annandale,Fairfax County
24216,Appalachia,Wise County
24522,Appomattox,Appomattox County
24053,Ararat,Patrick County
20107,Arcola,Loudoun County
23003,Ark,Gloucester County
22201,Arlington,Arlington County
22202,Arlington,Arlington County
22203,Arlington,Arlington County
22204,Arlington,Arlington County
22205,Arlington,Arlington County
22206,Arlington,Arlington County
22207,Arlington,Arlington County
22209,Arlington,Arlington County
22210,Arlington,Arlington County
22212,Arlington,Arlington County
22213,Arlington,Arlington County
22214,Arlington,Arlington County
22215,Arlington,Arlington County
22216,Arlington,Arlington County
22217,Arlington,Arlington County
22218,Arlington,Arlington County
22219,Arlington,Arlington County
22222,Arlington,Arlington County
22223,Arlington,Arlington County
22225,Arlington,Arlington County
22226,Arlington,Arlington County
22227,Arlington,Arlington County
22229,Arlington,Arlington County
22230,Arlington,Arlington County
